id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1616222992631205888,From my drafted congressional testimony in December,https://x.com/SBF_FTX/status/1616222992631205888,tweet,SBF,@SBF_FTX,0,56,320,934,767209,11,2023-01-20 05:26:04,,
1616221677825978369,https://t.co/VpfEhaHJF6 https://t.co/c97crYDh0Y,https://x.com/SBF_FTX/status/1616221677825978369,tweet,SBF,@SBF_FTX,1,134,801,1345,1342924,52,2023-01-20 05:20:50,https://pbs.twimg.com/media/Fm34v8caUAAKBLq.jpg,
1616120980669366278,"I'm glad Mr. Ray is finally paying lip service to turning the exchange back on after months of squashing such efforts!

I'm still waiting for him to finally admit FTX US is solvent and give customers their money back...

https://t.co/XjcyYFsoU0

https://t.co/SdvMIMXQ5K",https://x.com/SBF_FTX/status/1616120980669366278,tweet,SBF,@SBF_FTX,2780,330,321,1648,2092048,40,2023-01-19 22:40:42,,
1615575858575724544,"@fed_speak yeah sorry about that I had like 1 hour to throw this one together and it's ugly af

but also it's right",https://x.com/SBF_FTX/status/1615575858575724544,tweet,SBF,@SBF_FTX,475,52,37,506,327455,12,2023-01-18 10:34:35,,
1615556317917368320,"@K_L0X @MetaLawMan honestly you're pointing out one of the most infuriating things about this whole process

if the person with control of the system turns it off and withholds information on it, it's really hard for anyone else to prove anything about it",https://x.com/SBF_FTX/status/1615556317917368320,tweet,SBF,@SBF_FTX,32,7,0,15,19319,1,2023-01-18 09:16:56,,
1615555252962627584,"TL;DR:

1) S&amp;C files, claiming FTX US is insolvent
2) S&amp;C forgot to include bank balances, ~$428m
3) Once you add those back in, you get in the neighborhood of my prior balance sheet (~+$350m)
4) Other slides in the same filing demonstrate (2)",https://x.com/SBF_FTX/status/1615555252962627584,tweet,SBF,@SBF_FTX,0,89,46,291,835165,9,2023-01-18 09:12:42,,
1615530975030837251,"@jconorgrogan @austerity_sucks I think FTX US was always solvent, with segregated assets from FTX International

this wasn't a last-minute musical chairs thing

to be clear if Alameda had excess assets (+ve NAV) on FTX US at the end, *those* would likely go to FTX intl but wouldn't be counted for FTX US anyway",https://x.com/SBF_FTX/status/1615530975030837251,tweet,SBF,@SBF_FTX,30,3,2,6,13964,0,2023-01-18 07:36:14,,
1615530215777914880,@jconorgrogan I'm fairly confident that FTX US's excess cash on hand is much larger than the size of the wrapped asset issue to the extent there is one,https://x.com/SBF_FTX/status/1615530215777914880,tweet,SBF,@SBF_FTX,193,11,11,108,141785,5,2023-01-18 07:33:13,,
1615509341708386307,@spreekaway https://t.co/8fa4tZsMr5,https://x.com/SBF_FTX/status/1615509341708386307,tweet,SBF,@SBF_FTX,103,3,3,32,94463,3,2023-01-18 06:10:16,,
1615509193984999424,@MetaLawMan https://t.co/8fa4tZsMr5,https://x.com/SBF_FTX/status/1615509193984999424,tweet,SBF,@SBF_FTX,47,0,2,22,41178,0,2023-01-18 06:09:41,,
